Weights,Size,Accuracy,Precision,Recall,F1
-1.0911002863143492e-06,0.2,0.8620900346893724,0.0,0.0,0.0
-1.1866346287117815e-06,0.2,0.8620900346893724,0.0,0.0,0.0
-3.422361403824966e-06,0.2,0.8620900346893724,0.0,0.0,0.0
-9.712027644322604e-05,0.2,0.8620900346893724,0.0,0.0,0.0
-1.486806111869224e-06,0.2,0.8620900346893724,0.0,0.0,0.0
-7.262602335670059e-08,0.2,0.8620900346893724,0.0,0.0,0.0
-1.5787929787188195e-07,0.2,0.8620900346893724,0.0,0.0,0.0
-2.9004573829535526e-06,0.2,0.8620900346893724,0.0,0.0,0.0
-2.3493542421710707e-06,0.2,0.8620900346893724,0.0,0.0,0.0
-2.9985878707621224e-06,0.2,0.8620900346893724,0.0,0.0,0.0
-2.4676537332206133e-07,0.2,0.8620900346893724,0.0,0.0,0.0
-3.4108613650116244e-06,0.2,0.8620900346893724,0.0,0.0,0.0
-2.712130068752972e-07,0.2,0.8620900346893724,0.0,0.0,0.0
-7.954660422064042e-06,0.2,0.8620900346893724,0.0,0.0,0.0
-9.689432180368773e-06,0.2,0.8620900346893724,0.0,0.0,0.0
-1.0117449227048823e-05,0.2,0.8620900346893724,0.0,0.0,0.0
-3.1969639916019373e-07,0.2,0.8620900346893724,0.0,0.0,0.0
-1.5301567262485e-06,0.2,0.8620900346893724,0.0,0.0,0.0
-2.7035946286546522e-05,0.2,0.8620900346893724,0.0,0.0,0.0
-1.8602850456913185e-05,0.2,0.8620900346893724,0.0,0.0,0.0
-2.2961554103767094e-05,0.2,0.8620900346893724,0.0,0.0,0.0
-3.5989631522950456e-06,0.2,0.8620900346893724,0.0,0.0,0.0
