Weights,Size,Accuracy,Precision,Recall,F1
0.15620146474341037,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
0.11598442499895362,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
0.03581682884448948,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
0.21036588611300122,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
-0.009604123354976823,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
0.042218677330070835,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
0.09242503087960656,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
-0.017448558660241486,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
-0.0031637621382447066,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
-0.007001717001246927,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
-0.04889262153659609,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
0.010014651631708647,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
-0.011360314890216385,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
0.21355189353866882,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
-0.013316651846845454,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
-0.005063885671961448,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
0.07853849154072683,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
0.03405036683491618,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
0.0924533219949865,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
-0.010181323307573768,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
-0.05323968719982553,0.4,0.6399696467991169,0.26065584235950034,0.8725601937597949,0.4014025659091282
